text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"Worker fell from ship deck while painting, resulting in concussion. On 09 February 2024 at 06:25, an incident occurred at Maintenance Shed. Severe abrasion from slip on deck The incident was reported by Morgan Lee. Avery Davis from the Fleet Management department was involved."
"The incident was reported by Jordan Davis. Dislocated shoulder during equipment maintenance Spencer Graham from the Finance department was involved. Exposure to toxic fumes led to concussion. On 14 May 2025 at 10:37, an incident occurred at Office - Admin Block."
"Minor cuts and bruises Skyler Smith from the Security department was involved. The incident was reported by Taylor Morgan. On 27 June 2025 at 03:32, an incident occurred at Fuel Depot. crane malfunction caused a steel beam to drop, injuring a contractor."
"The incident was reported by Dakota Clark. On 29 June 2025 at 21:28, an incident occurred at Dry Dock 2. Exposure to asbestos led to a fractured leg. Blake Allen from the IT department was involved. Hearing damage from loud machinery"
"Avery Clark from the Health & Safety department was involved. The incident was reported by Rowan Walker. forklift malfunction caused a steel beam to drop, injuring a contractor. Laceration from sharp metal panel On 23 February 2024 at 04:15, an incident occurred at Fuel Depot."
"Trip hazard fall resulting in bruising Exposure to high-voltage wiring led to a fractured leg. Cameron Robinson from the Ship Maintenance department was involved. The incident was reported by Riley Bailey. On 22 August 2025 at 13:23, an incident occurred at Dry Dock 1."
"Worker fell from scaffolding while painting, resulting in concussion. Laceration from sharp metal panel Taylor Graham from the Quality Assurance department was involved. The incident was reported by Charlie Bailey. On 16 June 2024 at 08:07, an incident occurred at Warehouse A."
"The incident was reported by Charlie Walker. On 22 September 2024 at 16:13, an incident occurred at Dry Dock 1. grinder malfunction caused electrical fire, injuring a contractor. Puncture wound from misplaced tool Frankie Allen from the Communications department was involved."
"On 22 July 2025 at 16:52, an incident occurred at Dry Dock 2. Exposure to asbestos led to concussion. The incident was reported by Cameron Clark. Puncture wound from misplaced tool Riley Hughes from the Ship Maintenance department was involved."
"Emerson Graham from the Logistics department was involved. Exposure to high-voltage wiring led to concussion. On 09 August 2025 at 05:43, an incident occurred at Dockyard South. The incident was reported by Quinn Payne. Electric shock from faulty wiring"
"Casey Robinson from the Legal department was involved. Puncture wound from misplaced tool On 19 April 2024 at 12:42, an incident occurred at Tool Crib. The incident was reported by Spencer Davis. Worker fell from ship deck while painting, resulting in a fractured leg."
"On 18 August 2024 at 08:06, an incident occurred at Maintenance Shed. The incident was reported by Riley Ward. Severe abrasion from slip on deck Worker fell from scaffolding while welding, resulting in a fractured leg. Kai Pearson from the Dockyard Operations department was involved."
"Blake Davis from the Engineering department was involved. Exposure to toxic fumes led to concussion. The incident was reported by Frankie Graham. On 07 March 2024 at 06:35, an incident occurred at Shipyard Pier. Crush injury to hand from hydraulic press"
"Finley Foster from the Training & Development department was involved. On 26 October 2024 at 21:24, an incident occurred at Reception Area. Exposure to toxic fumes led to burns. The incident was reported by Morgan Murray. Compressed air injury during maintenance"
"On 31 May 2024 at 18:37, an incident occurred at Maintenance Shed. Frankie Parker from the Quality Assurance department was involved. Hearing damage from loud machinery forklift malfunction caused a steel beam to drop, injuring a contractor. The incident was reported by Logan Cooper."
"The incident was reported by Charlie Cooper. Concussion from falling object grinder malfunction caused electrical fire, injuring the operator. On 19 July 2025 at 13:15, an incident occurred at Shipyard Pier. Quinn Johnson from the Dockyard Operations department was involved."
"The incident was reported by Skyler Brown. Electric shock from faulty wiring forklift malfunction caused a fuel leak, injuring a contractor. On 27 July 2025 at 13:55, an incident occurred at Dry Dock 2. Jamie West from the Warehouse department was involved."
"The incident was reported by Peyton West. Riley Graham from the Logistics department was involved. Worker fell from ship deck while repairing the hull, resulting in concussion. On 11 June 2024 at 22:46, an incident occurred at Dry Dock 1. Heat exhaustion from prolonged outdoor work"
"Worker fell from ship deck while painting, resulting in a fractured leg. On 18 January 2024 at 07:44, an incident occurred at Warehouse A. Jamie Ward from the Customer Service department was involved. Compressed air injury during maintenance The incident was reported by Morgan Payne."
"Drew Parker from the Engineering department was involved. Dislocated shoulder during equipment maintenance On 10 August 2024 at 02:12, an incident occurred at Warehouse B. Worker fell from ship deck while painting, resulting in concussion. The incident was reported by Frankie Davis."
"Exposure to high-voltage wiring led to concussion. On 28 July 2025 at 06:54, an incident occurred at IT Server Room. The incident was reported by Charlie Lee. Electric shock from faulty wiring Elliot Pearson from the Finance department was involved."
"Rowan Walker from the Dockyard Operations department was involved. On 18 January 2025 at 03:05, an incident occurred at Engineering Workshop. Eye irritation from chemical fumes Worker fell from ladder while welding, resulting in concussion. The incident was reported by Alex Hughes."
"On 15 March 2024 at 07:04, an incident occurred at Electrical Bay. The incident was reported by Logan Murray. Smoke inhalation from fire in electrical bay Harper Cooper from the Warehouse department was involved. Worker fell from ladder while painting, resulting in a fractured leg."
"Worker fell from scaffolding while painting, resulting in burns. The incident was reported by Riley Kennedy. On 05 March 2025 at 10:14, an incident occurred at Engineering Workshop. Puncture wound from misplaced tool Riley Allen from the Environmental Services department was involved."
"Blake Davis from the Ship Maintenance department was involved. The incident was reported by Casey Lee. Dislocated shoulder during equipment maintenance On 08 April 2024 at 02:51, an incident occurred at Training Room. grinder malfunction caused a steel beam to drop, injuring a contractor."
"The incident was reported by Kai Walker. On 17 January 2024 at 05:01, an incident occurred at Maintenance Shed. Fractured wrist from fall on wet surface Drew Holmes from the Warehouse department was involved. Exposure to asbestos led to burns."
"Worker fell from ship deck while repairing the hull, resulting in concussion. The incident was reported by Jesse Sullivan. On 24 June 2024 at 15:31, an incident occurred at Training Room. Kai Reed from the Facilities department was involved. Trip hazard fall resulting in bruising"
"The incident was reported by Skyler Graham. On 29 December 2024 at 18:22, an incident occurred at Engineering Workshop. grinder malfunction caused a fuel leak, injuring a contractor. Heat exhaustion from prolonged outdoor work Drew Brown from the IT department was involved."
"On 19 April 2024 at 19:05, an incident occurred at Paint Shop. Smoke inhalation from fire in electrical bay The incident was reported by Harper Davis. Quinn Fisher from the Ship Maintenance department was involved. Exposure to toxic fumes led to a fractured leg."
"The incident was reported by Blake Murray. Frankie Mitchell from the Operations department was involved. Eye irritation from chemical fumes On 16 April 2025 at 09:24, an incident occurred at Reception Area. crane malfunction caused a steel beam to drop, injuring a contractor."
"On 24 August 2024 at 23:06, an incident occurred at Maintenance Shed. Puncture wound from misplaced tool The incident was reported by Logan Clark. Exposure to asbestos led to burns. Jamie Clark from the Finance department was involved."
"The incident was reported by Drew Allen. On 23 June 2025 at 12:40, an incident occurred at Paint Shop. Chemical burn from solvent exposure Kai Parker from the Warehouse department was involved. Worker fell from ship deck while repairing the hull, resulting in concussion."
"The incident was reported by Jordan Bennett. Dakota Davis from the Operations department was involved. Puncture wound from misplaced tool Worker fell from scaffolding while painting, resulting in concussion. On 08 August 2025 at 03:45, an incident occurred at Training Room."
"Smoke inhalation from fire in electrical bay Kai Sullivan from the Warehouse department was involved. On 21 February 2025 at 16:20, an incident occurred at Dry Dock 1. Worker fell from ship deck while painting, resulting in concussion. The incident was reported by Cameron Payne."
"crane malfunction caused a fuel leak, injuring two workers. The incident was reported by Jamie Murphy. On 31 January 2024 at 18:54, an incident occurred at Cafeteria. Spencer Bailey from the Warehouse department was involved. Fractured ankle due to fall from scaffolding"
"The incident was reported by Chris Davis. Worker fell from ladder while welding, resulting in concussion. Crush injury to hand from hydraulic press On 30 May 2024 at 22:50, an incident occurred at Tool Crib. Rowan Murphy from the Logistics department was involved."
"The incident was reported by Avery West. Finley Smith from the Training & Development department was involved. On 26 April 2025 at 19:51, an incident occurred at Paint Shop. Puncture wound from misplaced tool Exposure to toxic fumes led to concussion."
"Riley Lewis from the Logistics department was involved. The incident was reported by Kai Hughes. On 03 May 2025 at 20:01, an incident occurred at Tool Crib. Worker fell from ladder while welding, resulting in burns. Laceration from sharp metal panel"
"On 07 June 2024 at 19:44, an incident occurred at Dockyard North. Dislocated shoulder during equipment maintenance Alex Murphy from the Finance department was involved. Exposure to high-voltage wiring led to a fractured leg. The incident was reported by Casey Morgan."
"On 25 September 2024 at 04:47, an incident occurred at Dockyard North. grinder malfunction caused electrical fire, injuring the operator. The incident was reported by Frankie Graham. Hearing damage from loud machinery Sydney Clark from the Fleet Management department was involved."
"Worker fell from scaffolding while painting, resulting in concussion. On 01 April 2025 at 03:50, an incident occurred at Dry Dock 2. The incident was reported by Spencer West. Hearing damage from loud machinery Quinn Parker from the Fleet Management department was involved."
"Spencer Robinson from the Health & Safety department was involved. Heat exhaustion from prolonged outdoor work On 26 April 2024 at 16:03, an incident occurred at Maintenance Shed. The incident was reported by Morgan Davis. forklift malfunction caused electrical fire, injuring the operator."
"Chemical burn from solvent exposure grinder malfunction caused a fuel leak, injuring the operator. On 08 June 2024 at 09:04, an incident occurred at Paint Shop. Chris Graham from the Engineering department was involved. The incident was reported by Finley Mitchell."
"On 09 May 2024 at 06:13, an incident occurred at Training Room. Worker fell from ladder while repairing the hull, resulting in concussion. The incident was reported by Spencer Mitchell. Cameron Johnson from the Training & Development department was involved. Dislocated shoulder during equipment maintenance"
"Compressed air injury during maintenance The incident was reported by Blake Parker. Chris Morgan from the Ship Maintenance department was involved. On 08 August 2024 at 07:34, an incident occurred at Electrical Bay. grinder malfunction caused electrical fire, injuring the operator."
"On 07 September 2025 at 21:19, an incident occurred at Maintenance Shed. Emerson Mitchell from the Customer Service department was involved. Exposure to high-voltage wiring led to concussion. Severe abrasion from slip on deck The incident was reported by Logan Hughes."
"On 08 September 2024 at 23:00, an incident occurred at IT Server Room. Crush injury to hand from hydraulic press The incident was reported by Spencer Johnson. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg. Blake Smith from the Health & Safety department was involved."
"Exposure to toxic fumes led to a fractured leg. On 25 April 2025 at 14:39, an incident occurred at Fleet Garage. The incident was reported by Elliot Davis. Chemical burn from solvent exposure Harper Morgan from the Engineering department was involved."
"Crush injury to hand from hydraulic press Exposure to toxic fumes led to burns. On 15 April 2024 at 04:15, an incident occurred at Dry Dock 2. The incident was reported by Logan Brown. Emerson Foster from the Warehouse department was involved."
"On 05 April 2025 at 08:12, an incident occurred at IT Server Room. Rowan Pearson from the Operations department was involved. Hearing damage from loud machinery The incident was reported by Elliot Smith. Exposure to asbestos led to a fractured leg."
"The incident was reported by Jamie West. Cameron Parker from the Engineering department was involved. On 01 February 2024 at 10:20, an incident occurred at Cafeteria. Exposure to asbestos led to a fractured leg. Chemical burn from solvent exposure"
"Dislocated shoulder during equipment maintenance On 19 January 2024 at 07:42, an incident occurred at Office - Admin Block. The incident was reported by Harper Kennedy. Morgan Mitchell from the Quality Assurance department was involved. Worker fell from ship deck while painting, resulting in concussion."
"The incident was reported by Sawyer Ward. On 29 December 2024 at 09:05, an incident occurred at Fuel Depot. Reese Lewis from the Health & Safety department was involved. Hearing damage from loud machinery Exposure to asbestos led to a fractured leg."
"Smoke inhalation from fire in electrical bay Elliot Parker from the Finance department was involved. On 25 February 2024 at 17:08, an incident occurred at Fleet Garage. forklift malfunction caused a steel beam to drop, injuring the operator. The incident was reported by Chris Ward."
"On 03 May 2025 at 12:34, an incident occurred at Tool Crib. Smoke inhalation from fire in electrical bay Exposure to high-voltage wiring led to burns. Jesse Sullivan from the Research & Development department was involved. The incident was reported by Sawyer Clark."
"Severe abrasion from slip on deck On 25 August 2024 at 03:23, an incident occurred at Warehouse B. The incident was reported by Jordan West. forklift malfunction caused a steel beam to drop, injuring the operator. Sawyer Bailey from the Finance department was involved."
"Riley Allen from the Legal department was involved. The incident was reported by Alex Parker. forklift malfunction caused a fuel leak, injuring the operator. On 01 February 2025 at 09:08, an incident occurred at Dockyard North. Burn from hot welding equipment"
"Worker fell from ship deck while welding, resulting in burns. Trip hazard fall resulting in bruising The incident was reported by Harper Clark. On 06 June 2024 at 15:32, an incident occurred at Electrical Bay. Rowan Bennett from the Engineering department was involved."
"On 11 June 2024 at 23:27, an incident occurred at Training Room. Kai Ward from the Logistics department was involved. The incident was reported by Jamie West. Severe abrasion from slip on deck forklift malfunction caused a steel beam to drop, injuring a contractor."
"On 24 August 2024 at 22:53, an incident occurred at Warehouse A. Quinn Smith from the Communications department was involved. The incident was reported by Charlie Ward. Worker fell from scaffolding while welding, resulting in a fractured leg. Fractured wrist from fall on wet surface"
"Worker fell from ship deck while painting, resulting in a fractured leg. The incident was reported by Charlie Pearson. Fractured wrist from fall on wet surface Charlie Graham from the Procurement department was involved. On 24 August 2025 at 14:29, an incident occurred at Reception Area."
"On 16 May 2025 at 02:10, an incident occurred at Reception Area. grinder malfunction caused a fuel leak, injuring two workers. Smoke inhalation from fire in electrical bay Kai Robinson from the Warehouse department was involved. The incident was reported by Riley Bailey."
"On 25 April 2025 at 03:48, an incident occurred at Paint Shop. Exposure to asbestos led to concussion. The incident was reported by Harper Allen. Chemical burn from solvent exposure Taylor Fisher from the Finance department was involved."
"Heat exhaustion from prolonged outdoor work On 25 April 2025 at 08:36, an incident occurred at Warehouse B. Worker fell from scaffolding while welding, resulting in concussion. Peyton Graham from the Legal department was involved. The incident was reported by Logan Payne."
"Fractured ankle due to fall from scaffolding Blake Robinson from the IT department was involved. The incident was reported by Skyler Sullivan. Exposure to high-voltage wiring led to burns. On 18 March 2025 at 00:11, an incident occurred at Fleet Garage."
"Back strain from improper lifting Worker fell from scaffolding while repairing the hull, resulting in concussion. The incident was reported by Casey Brown. On 28 October 2024 at 09:54, an incident occurred at Warehouse B. Casey Bailey from the Engineering department was involved."
"Worker fell from scaffolding while repairing the hull, resulting in burns. Peyton Kennedy from the Operations department was involved. Concussion from falling object On 11 June 2025 at 04:36, an incident occurred at Electrical Bay. The incident was reported by Peyton Bennett."
"Compressed air injury during maintenance On 28 August 2024 at 05:14, an incident occurred at Warehouse A. crane malfunction caused a fuel leak, injuring a contractor. Harper Parker from the HR department was involved. The incident was reported by Logan Parker."
"Worker fell from ship deck while repairing the hull, resulting in burns. On 08 August 2025 at 23:45, an incident occurred at IT Server Room. The incident was reported by Skyler Payne. Puncture wound from misplaced tool Skyler Fisher from the HR department was involved."
"Jamie Holmes from the HR department was involved. Smoke inhalation from fire in electrical bay On 24 May 2025 at 07:10, an incident occurred at Training Room. The incident was reported by Riley Payne. Exposure to high-voltage wiring led to burns."
"Quinn Morgan from the IT department was involved. On 03 January 2025 at 17:45, an incident occurred at Warehouse A. Puncture wound from misplaced tool The incident was reported by Charlie Holmes. Exposure to toxic fumes led to concussion."
"On 12 May 2024 at 17:19, an incident occurred at Reception Area. Heat exhaustion from prolonged outdoor work The incident was reported by Peyton Smith. Avery Allen from the Fleet Management department was involved. Worker fell from ship deck while repairing the hull, resulting in concussion."
"The incident was reported by Quinn Ward. On 15 November 2024 at 11:41, an incident occurred at Electrical Bay. Concussion from falling object Exposure to high-voltage wiring led to concussion. Logan Pearson from the Training & Development department was involved."
"Worker fell from ladder while repairing the hull, resulting in a fractured leg. Skyler Mitchell from the IT department was involved. The incident was reported by Jordan Sullivan. Heat exhaustion from prolonged outdoor work On 18 November 2024 at 14:55, an incident occurred at Fleet Garage."
"Charlie Foster from the Fleet Management department was involved. On 06 October 2024 at 22:23, an incident occurred at Warehouse B. Worker fell from ladder while repairing the hull, resulting in a fractured leg. The incident was reported by Peyton Pearson. Compressed air injury during maintenance"
"On 23 June 2025 at 13:32, an incident occurred at Dockyard South. The incident was reported by Sawyer Graham. Worker fell from scaffolding while repairing the hull, resulting in burns. Jordan Cooper from the Procurement department was involved. Back strain from improper lifting"
"Exposure to asbestos led to concussion. Emerson Reed from the Fleet Management department was involved. On 02 May 2024 at 08:16, an incident occurred at Fuel Depot. The incident was reported by Jesse Pearson. Eye irritation from chemical fumes"
"The incident was reported by Quinn Hughes. On 27 March 2025 at 11:26, an incident occurred at Dockyard South. Exposure to asbestos led to a fractured leg. Reese Pearson from the Environmental Services department was involved. Concussion from falling object"
"Exposure to high-voltage wiring led to concussion. On 05 January 2024 at 07:08, an incident occurred at Electrical Bay. Puncture wound from misplaced tool Harper Mitchell from the Communications department was involved. The incident was reported by Jordan Hughes."
"Dislocated shoulder during equipment maintenance On 15 July 2025 at 14:51, an incident occurred at Training Room. Sydney Reed from the Security department was involved. Worker fell from ship deck while repairing the hull, resulting in concussion. The incident was reported by Quinn Robinson."
"Crush injury to hand from hydraulic press The incident was reported by Charlie Payne. Alex Allen from the Research & Development department was involved. On 16 April 2025 at 20:10, an incident occurred at Dockyard North. crane malfunction caused a steel beam to drop, injuring a contractor."
"forklift malfunction caused electrical fire, injuring two workers. The incident was reported by Blake Reed. Laceration from sharp metal panel Jamie Hughes from the HR department was involved. On 29 August 2025 at 16:20, an incident occurred at Dry Dock 1."
"On 12 February 2024 at 16:53, an incident occurred at Office - Admin Block. The incident was reported by Jamie Parker. Concussion from falling object Dakota Holmes from the Environmental Services department was involved. Exposure to asbestos led to concussion."
"Rowan Cooper from the Customer Service department was involved. Exposure to toxic fumes led to concussion. The incident was reported by Cameron Fisher. On 10 February 2024 at 21:46, an incident occurred at Fuel Depot. Chemical burn from solvent exposure"
"Severe abrasion from slip on deck Worker fell from ladder while repairing the hull, resulting in burns. Sawyer Allen from the Procurement department was involved. The incident was reported by Riley Fisher. On 02 January 2024 at 13:56, an incident occurred at Dry Dock 1."
"Blake Ward from the Legal department was involved. grinder malfunction caused electrical fire, injuring two workers. The incident was reported by Jordan Brown. On 24 August 2025 at 22:43, an incident occurred at IT Server Room. Trip hazard fall resulting in bruising"
"On 02 May 2024 at 07:46, an incident occurred at Paint Shop. Cameron Clark from the Environmental Services department was involved. Hearing damage from loud machinery Exposure to asbestos led to burns. The incident was reported by Charlie Bennett."
"forklift malfunction caused electrical fire, injuring two workers. Electric shock from faulty wiring On 09 June 2025 at 23:33, an incident occurred at Warehouse A. The incident was reported by Dakota Hughes. Emerson Graham from the Training & Development department was involved."
"Electric shock from faulty wiring On 16 August 2024 at 03:49, an incident occurred at Office - Admin Block. The incident was reported by Emerson Mitchell. Worker fell from scaffolding while welding, resulting in a fractured leg. Jordan Lee from the Customer Service department was involved."
"Exposure to toxic fumes led to concussion. Crush injury to hand from hydraulic press The incident was reported by Taylor Parker. On 28 February 2024 at 11:50, an incident occurred at Shipyard Pier. Chris Lewis from the Fleet Management department was involved."
"Smoke inhalation from fire in electrical bay Frankie Pearson from the Communications department was involved. The incident was reported by Kai Johnson. On 08 February 2024 at 17:32, an incident occurred at Fleet Garage. forklift malfunction caused electrical fire, injuring the operator."
"Logan Parker from the Ship Maintenance department was involved. Exposure to high-voltage wiring led to a fractured leg. On 26 August 2024 at 14:04, an incident occurred at Training Room. The incident was reported by Quinn Lewis. Hearing damage from loud machinery"
"crane malfunction caused electrical fire, injuring the operator. Compressed air injury during maintenance The incident was reported by Jordan Bennett. On 14 January 2024 at 18:54, an incident occurred at Dry Dock 1. Riley Reed from the Facilities department was involved."
"Chemical burn from solvent exposure On 18 March 2025 at 10:39, an incident occurred at Main Gate Security. Worker fell from ladder while painting, resulting in concussion. The incident was reported by Emerson Pearson. Sawyer Lewis from the Customer Service department was involved."
"On 08 March 2024 at 14:47, an incident occurred at Dockyard North. Cameron Bennett from the Training & Development department was involved. The incident was reported by Spencer Smith. Exposure to toxic fumes led to a fractured leg. Electric shock from faulty wiring"
"The incident was reported by Avery Foster. Chemical burn from solvent exposure On 29 August 2025 at 05:10, an incident occurred at Office - Admin Block. Taylor West from the Environmental Services department was involved. Exposure to toxic fumes led to a fractured leg."
"Electric shock from faulty wiring Alex Johnson from the Logistics department was involved. On 07 July 2025 at 18:40, an incident occurred at Paint Shop. The incident was reported by Avery Foster. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg."
"Fractured wrist from fall on wet surface Taylor Bailey from the Facilities department was involved. On 09 March 2025 at 01:36, an incident occurred at Tool Crib. The incident was reported by Alex Foster. Worker fell from scaffolding while repairing the hull, resulting in burns."
"Crush injury to hand from hydraulic press On 25 February 2024 at 23:20, an incident occurred at Dry Dock 1. The incident was reported by Elliot Foster. Taylor Sullivan from the Training & Development department was involved. Exposure to high-voltage wiring led to concussion."
"crane malfunction caused a steel beam to drop, injuring the operator. Charlie Kennedy from the Facilities department was involved. On 26 May 2025 at 08:08, an incident occurred at Paint Shop. The incident was reported by Chris Robinson. Back strain from improper lifting"
"Worker fell from ladder while welding, resulting in burns. Minor cuts and bruises On 18 March 2024 at 08:05, an incident occurred at Electrical Bay. Skyler Robinson from the Environmental Services department was involved. The incident was reported by Casey Allen."
"On 13 March 2025 at 08:37, an incident occurred at Reception Area. Crush injury to hand from hydraulic press Exposure to asbestos led to concussion. The incident was reported by Charlie Davis. Kai Walker from the Legal department was involved."
"The incident was reported by Blake Foster. Burn from hot welding equipment Rowan Lewis from the Procurement department was involved. On 15 January 2025 at 07:03, an incident occurred at Cafeteria. Worker fell from ship deck while welding, resulting in concussion."
"grinder malfunction caused electrical fire, injuring two workers. The incident was reported by Logan Foster. Harper Graham from the Communications department was involved. Eye irritation from chemical fumes On 04 June 2025 at 06:41, an incident occurred at Paint Shop."
"Logan Davis from the Facilities department was involved. Worker fell from ship deck while repairing the hull, resulting in burns. The incident was reported by Taylor Smith. Chemical burn from solvent exposure On 06 November 2024 at 07:53, an incident occurred at Dockyard South."
"Jesse Mitchell from the HR department was involved. The incident was reported by Dakota Holmes. On 30 September 2024 at 08:37, an incident occurred at Tool Crib. Laceration from sharp metal panel Exposure to asbestos led to burns."
"The incident was reported by Jordan Lewis. On 31 July 2025 at 10:12, an incident occurred at Fuel Depot. Puncture wound from misplaced tool Jesse Davis from the Ship Maintenance department was involved. Worker fell from ship deck while welding, resulting in a fractured leg."
"On 20 February 2024 at 15:36, an incident occurred at Reception Area. Worker fell from ship deck while welding, resulting in a fractured leg. Compressed air injury during maintenance The incident was reported by Cameron Robinson. Reese Hughes from the Customer Service department was involved."
"Exposure to high-voltage wiring led to burns. The incident was reported by Jamie Reed. On 16 May 2024 at 09:09, an incident occurred at Dockyard South. Dakota Foster from the Finance department was involved. Eye irritation from chemical fumes"
"Exposure to asbestos led to concussion. Reese Ward from the Quality Assurance department was involved. Crush injury to hand from hydraulic press The incident was reported by Dakota Holmes. On 06 February 2024 at 02:08, an incident occurred at Maintenance Shed."
"The incident was reported by Blake Allen. grinder malfunction caused electrical fire, injuring a contractor. Logan Reed from the Health & Safety department was involved. On 25 August 2024 at 15:13, an incident occurred at Engineering Workshop. Crush injury to hand from hydraulic press"
"Taylor Foster from the Finance department was involved. On 25 March 2024 at 06:43, an incident occurred at Paint Shop. The incident was reported by Jordan Hughes. Exposure to high-voltage wiring led to a fractured leg. Fractured ankle due to fall from scaffolding"
"Puncture wound from misplaced tool On 24 February 2024 at 16:35, an incident occurred at Reception Area. Blake Allen from the Procurement department was involved. crane malfunction caused a fuel leak, injuring two workers. The incident was reported by Taylor Murphy."
"The incident was reported by Drew Sullivan. Electric shock from faulty wiring On 25 May 2025 at 01:55, an incident occurred at Dockyard North. Jamie Bennett from the HR department was involved. forklift malfunction caused a steel beam to drop, injuring a contractor."
"The incident was reported by Finley Reed. Smoke inhalation from fire in electrical bay On 12 March 2025 at 05:30, an incident occurred at Dockyard North. Worker fell from ship deck while welding, resulting in a fractured leg. Morgan Davis from the Security department was involved."
"The incident was reported by Jesse Allen. Exposure to asbestos led to a fractured leg. Smoke inhalation from fire in electrical bay On 07 April 2024 at 18:14, an incident occurred at Fuel Depot. Harper Reed from the Facilities department was involved."
"Jamie Robinson from the Research & Development department was involved. Exposure to asbestos led to burns. On 07 November 2024 at 19:29, an incident occurred at Electrical Bay. Electric shock from faulty wiring The incident was reported by Riley Pearson."
"Worker fell from ship deck while repairing the hull, resulting in a fractured leg. Smoke inhalation from fire in electrical bay The incident was reported by Finley Allen. Jamie Brown from the Procurement department was involved. On 12 August 2025 at 23:54, an incident occurred at Warehouse B."
"Emerson Holmes from the Engineering department was involved. Severe abrasion from slip on deck Worker fell from scaffolding while painting, resulting in concussion. On 25 July 2025 at 13:16, an incident occurred at Training Room. The incident was reported by Sawyer Cooper."
"Worker fell from ship deck while welding, resulting in a fractured leg. Laceration from sharp metal panel On 07 September 2025 at 12:08, an incident occurred at Paint Shop. The incident was reported by Skyler Holmes. Avery Murray from the IT department was involved."
"The incident was reported by Casey West. crane malfunction caused electrical fire, injuring the operator. On 07 October 2024 at 09:17, an incident occurred at Tool Crib. Dakota Johnson from the Communications department was involved. Chemical burn from solvent exposure"
"The incident was reported by Chris Ward. Smoke inhalation from fire in electrical bay Worker fell from ship deck while painting, resulting in concussion. On 31 August 2025 at 00:21, an incident occurred at Warehouse B. Finley Smith from the Communications department was involved."
"Morgan Kennedy from the Research & Development department was involved. On 08 February 2025 at 20:40, an incident occurred at Cafeteria. Fractured wrist from fall on wet surface Worker fell from scaffolding while painting, resulting in a fractured leg. The incident was reported by Kai Morgan."
"The incident was reported by Taylor Kennedy. Skyler Graham from the Security department was involved. Trip hazard fall resulting in bruising On 09 February 2024 at 19:56, an incident occurred at IT Server Room. Exposure to toxic fumes led to concussion."
"On 16 September 2025 at 02:41, an incident occurred at Fuel Depot. Exposure to toxic fumes led to a fractured leg. The incident was reported by Emerson Brown. Laceration from sharp metal panel Riley Brown from the Communications department was involved."
"On 30 June 2024 at 23:11, an incident occurred at Fuel Depot. Exposure to high-voltage wiring led to a fractured leg. Chris Lewis from the IT department was involved. The incident was reported by Emerson Robinson. Laceration from sharp metal panel"
"grinder malfunction caused electrical fire, injuring a contractor. Smoke inhalation from fire in electrical bay The incident was reported by Casey Sullivan. Cameron Fisher from the Logistics department was involved. On 28 March 2024 at 07:38, an incident occurred at Dry Dock 2."
"On 09 June 2024 at 21:11, an incident occurred at Cafeteria. Back strain from improper lifting Casey Robinson from the Security department was involved. Exposure to toxic fumes led to burns. The incident was reported by Emerson Graham."
"Foreign object in eye from grinding debris The incident was reported by Finley Mitchell. On 25 September 2024 at 14:11, an incident occurred at Warehouse A. forklift malfunction caused electrical fire, injuring two workers. Rowan Lee from the Customer Service department was involved."
"Hearing damage from loud machinery The incident was reported by Finley Fisher. Exposure to asbestos led to concussion. Frankie Smith from the Health & Safety department was involved. On 28 November 2024 at 00:21, an incident occurred at Shipyard Pier."
"Logan Fisher from the Procurement department was involved. On 04 June 2024 at 21:48, an incident occurred at Electrical Bay. grinder malfunction caused a steel beam to drop, injuring a contractor. The incident was reported by Sawyer Lewis. Burn from hot welding equipment"
"Electric shock from faulty wiring Exposure to high-voltage wiring led to a fractured leg. On 12 February 2025 at 02:03, an incident occurred at Electrical Bay. The incident was reported by Cameron Reed. Dakota Robinson from the Dockyard Operations department was involved."
"Worker fell from scaffolding while welding, resulting in concussion. On 09 December 2024 at 22:27, an incident occurred at Tool Crib. Burn from hot welding equipment The incident was reported by Jesse Murphy. Frankie Pearson from the IT department was involved."
"The incident was reported by Dakota Johnson. Avery Sullivan from the Fleet Management department was involved. On 03 August 2025 at 08:16, an incident occurred at Maintenance Shed. Trip hazard fall resulting in bruising Exposure to toxic fumes led to burns."
"Jamie Smith from the Customer Service department was involved. Hearing damage from loud machinery The incident was reported by Sawyer Payne. On 30 January 2025 at 23:37, an incident occurred at Fleet Garage. Worker fell from ship deck while painting, resulting in a fractured leg."
"Exposure to asbestos led to concussion. The incident was reported by Jamie Lee. Casey Holmes from the IT department was involved. Trip hazard fall resulting in bruising On 18 December 2024 at 16:16, an incident occurred at Main Gate Security."
"Kai Johnson from the Communications department was involved. On 09 June 2025 at 16:01, an incident occurred at Electrical Bay. The incident was reported by Dakota Foster. crane malfunction caused a fuel leak, injuring a contractor. Back strain from improper lifting"
"Trip hazard fall resulting in bruising The incident was reported by Avery Mitchell. Worker fell from ladder while repairing the hull, resulting in concussion. On 11 March 2025 at 18:35, an incident occurred at Fleet Garage. Jesse Holmes from the Communications department was involved."
