reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Dakota West,Kai Clark,03 April 2024,21:21,Quality Assurance,"grinder malfunction caused electrical fire, injuring a contractor.",Reception Area,Accident,Yes,Compressed air injury during maintenance
Dakota Walker,Reese Hughes,28 August 2025,21:04,Research & Development,Exposure to toxic fumes led to burns.,IT Server Room,Accident,Yes,Severe abrasion from slip on deck
Sawyer Payne,Sydney Bennett,12 March 2024,18:29,Health & Safety,Exposure to asbestos led to concussion.,Cafeteria,Accident,Yes,Minor cuts and bruises
Jamie Brown,Jamie Clark,25 August 2025,17:46,Security,Exposure to asbestos led to concussion.,Maintenance Shed,Accident,Yes,Back strain from improper lifting
Reese Johnson,Skyler West,20 February 2024,04:56,Health & Safety,Exposure to toxic fumes led to concussion.,Tool Crib,Accident,Yes,Back strain from improper lifting
Frankie Morgan,Rowan Bennett,28 June 2025,08:46,Legal,Exposure to asbestos led to a fractured leg.,Dry Dock 2,Accident,Yes,Trip hazard fall resulting in bruising
Charlie Bennett,Kai Brown,17 April 2025,17:11,Procurement,Exposure to asbestos led to concussion.,IT Server Room,Accident,Yes,Dislocated shoulder during equipment maintenance
Jamie Davis,Peyton Johnson,12 June 2024,02:43,Customer Service,"crane malfunction caused electrical fire, injuring a contractor.",Dry Dock 2,Accident,Yes,Fractured wrist from fall on wet surface
Sawyer Reed,Charlie Pearson,21 February 2025,01:40,Customer Service,"crane malfunction caused a fuel leak, injuring the operator.",Tool Crib,Accident,Yes,Eye irritation from chemical fumes
Morgan Pearson,Jordan Payne,29 March 2024,10:21,Operations,"grinder malfunction caused electrical fire, injuring two workers.",Dry Dock 2,Accident,Yes,Fractured wrist from fall on wet surface
Kai Fisher,Jordan Parker,25 February 2024,18:20,IT,Exposure to toxic fumes led to burns.,Training Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Sawyer Bailey,Reese Clark,05 January 2025,08:58,Quality Assurance,"grinder malfunction caused electrical fire, injuring two workers.",Tool Crib,Accident,Yes,Smoke inhalation from fire in electrical bay
Taylor Hughes,Charlie Morgan,13 April 2025,10:39,Dockyard Operations,"crane malfunction caused electrical fire, injuring a contractor.",Tool Crib,Accident,Yes,Electric shock from faulty wiring
Charlie Bailey,Jamie Murray,02 March 2024,14:24,Legal,Exposure to toxic fumes led to burns.,Tool Crib,Accident,Yes,Fractured ankle due to fall from scaffolding
Alex Bennett,Sydney Bailey,08 July 2024,10:18,Security,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Dockyard North,Accident,Yes,Chemical burn from solvent exposure
Frankie Lee,Dakota Mitchell,28 October 2024,23:13,Health & Safety,"Worker fell from ladder while painting, resulting in burns.",Tool Crib,Accident,Yes,Electric shock from faulty wiring
Quinn Holmes,Finley Morgan,21 April 2025,00:45,Facilities,Exposure to high-voltage wiring led to burns.,Tool Crib,Accident,Yes,Dislocated shoulder during equipment maintenance
Sydney Bailey,Casey Graham,11 November 2024,12:08,Training & Development,Exposure to high-voltage wiring led to burns.,Cafeteria,Accident,Yes,Compressed air injury during maintenance
Logan Murphy,Quinn Pearson,29 January 2025,20:31,Dockyard Operations,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Reception Area,Accident,Yes,Burn from hot welding equipment
Frankie Robinson,Spencer Pearson,18 January 2024,06:55,Environmental Services,"Worker fell from ladder while welding, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Hearing damage from loud machinery
Kai Lee,Casey Davis,20 January 2024,18:01,Logistics,"Worker fell from scaffolding while painting, resulting in concussion.",Paint Shop,Accident,Yes,Crush injury to hand from hydraulic press
Peyton Davis,Casey Johnson,19 June 2025,22:27,Fleet Management,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Dry Dock 2,Accident,Yes,Chemical burn from solvent exposure
Peyton Bailey,Alex Clark,19 April 2024,14:35,IT,Exposure to high-voltage wiring led to concussion.,Engineering Workshop,Accident,Yes,Fractured wrist from fall on wet surface
Rowan Foster,Skyler West,30 May 2024,19:08,Warehouse,Exposure to asbestos led to concussion.,Main Gate Security,Accident,Yes,Trip hazard fall resulting in bruising
Avery Pearson,Casey Graham,28 July 2025,02:10,Legal,Exposure to high-voltage wiring led to a fractured leg.,Warehouse B,Accident,Yes,Fractured wrist from fall on wet surface
Frankie Foster,Skyler Lewis,05 January 2024,19:59,Environmental Services,"crane malfunction caused a steel beam to drop, injuring a contractor.",Paint Shop,Accident,Yes,Laceration from sharp metal panel
Alex Cooper,Jamie Robinson,17 May 2025,22:09,Fleet Management,Exposure to toxic fumes led to concussion.,Tool Crib,Accident,Yes,Crush injury to hand from hydraulic press
Avery Kennedy,Peyton Parker,14 July 2024,13:06,Training & Development,Exposure to asbestos led to burns.,Engineering Workshop,Accident,Yes,Compressed air injury during maintenance
Dakota Ward,Skyler Allen,03 May 2024,19:53,Ship Maintenance,Exposure to high-voltage wiring led to concussion.,Tool Crib,Accident,Yes,Foreign object in eye from grinding debris
Elliot Parker,Quinn Holmes,22 July 2024,15:23,HR,Exposure to asbestos led to a fractured leg.,IT Server Room,Accident,Yes,Hearing damage from loud machinery
Kai Murray,Harper Smith,30 August 2025,01:07,Engineering,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Training Room,Accident,Yes,Compressed air injury during maintenance
Harper Morgan,Alex Morgan,30 March 2024,08:12,Customer Service,"Worker fell from ship deck while welding, resulting in burns.",Shipyard Pier,Accident,Yes,Laceration from sharp metal panel
Jamie Morgan,Avery Walker,17 July 2025,09:59,Operations,"forklift malfunction caused a fuel leak, injuring a contractor.",Warehouse B,Accident,Yes,Fractured wrist from fall on wet surface
Morgan Murphy,Jordan Walker,12 June 2024,01:55,Facilities,"crane malfunction caused a fuel leak, injuring a contractor.",Warehouse A,Accident,Yes,Burn from hot welding equipment
Kai Morgan,Cameron Fisher,04 May 2025,23:14,Dockyard Operations,Exposure to high-voltage wiring led to a fractured leg.,Maintenance Shed,Accident,Yes,Foreign object in eye from grinding debris
Reese West,Chris Brown,30 July 2025,12:15,Research & Development,Exposure to asbestos led to burns.,Maintenance Shed,Accident,Yes,Back strain from improper lifting
Peyton Mitchell,Drew Johnson,26 August 2025,12:46,Fleet Management,"Worker fell from scaffolding while welding, resulting in concussion.",Dry Dock 2,Accident,Yes,Trip hazard fall resulting in bruising
Quinn Murray,Quinn Fisher,09 April 2025,01:06,Facilities,Exposure to asbestos led to a fractured leg.,Warehouse A,Accident,Yes,Smoke inhalation from fire in electrical bay
Spencer Lewis,Dakota West,03 August 2024,17:55,Fleet Management,"crane malfunction caused electrical fire, injuring two workers.",Shipyard Pier,Accident,Yes,Fractured ankle due to fall from scaffolding
Taylor Ward,Skyler Hughes,04 September 2024,08:24,Dockyard Operations,Exposure to toxic fumes led to burns.,Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Jordan Parker,Drew Fisher,23 April 2024,22:57,Quality Assurance,"Worker fell from ladder while painting, resulting in a fractured leg.",Fleet Garage,Accident,Yes,Concussion from falling object
Frankie Robinson,Jesse West,11 February 2025,18:52,Research & Development,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Tool Crib,Accident,Yes,Back strain from improper lifting
Taylor Bennett,Casey Hughes,15 June 2025,16:07,Dockyard Operations,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Reception Area,Accident,Yes,Compressed air injury during maintenance
Avery Robinson,Finley Hughes,30 April 2025,20:55,Fleet Management,Exposure to toxic fumes led to concussion.,Dockyard South,Accident,Yes,Compressed air injury during maintenance
Sydney Robinson,Dakota Murray,28 April 2024,20:38,Quality Assurance,Exposure to high-voltage wiring led to a fractured leg.,Warehouse A,Accident,Yes,Fractured ankle due to fall from scaffolding
Cameron Murray,Quinn Davis,28 August 2025,09:29,Communications,"forklift malfunction caused a fuel leak, injuring two workers.",Office - Admin Block,Accident,Yes,Heat exhaustion from prolonged outdoor work
Drew Reed,Blake Smith,02 March 2024,11:38,Environmental Services,"grinder malfunction caused a steel beam to drop, injuring the operator.",Warehouse B,Accident,Yes,Fractured ankle due to fall from scaffolding
Peyton Parker,Jordan Graham,31 January 2024,22:45,Research & Development,"crane malfunction caused a fuel leak, injuring the operator.",Reception Area,Accident,Yes,Hearing damage from loud machinery
Taylor Sullivan,Finley Cooper,01 February 2025,16:54,Legal,"Worker fell from scaffolding while welding, resulting in concussion.",Warehouse B,Accident,Yes,Foreign object in eye from grinding debris
Cameron Johnson,Frankie Payne,03 September 2025,02:51,HR,"Worker fell from scaffolding while repairing the hull, resulting in concussion.",Warehouse B,Accident,Yes,Fractured wrist from fall on wet surface
Spencer Morgan,Charlie Hughes,05 June 2024,05:15,Finance,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Fractured ankle due to fall from scaffolding
Sawyer Murphy,Sydney Cooper,11 February 2024,17:40,Logistics,"forklift malfunction caused electrical fire, injuring a contractor.",Warehouse A,Accident,Yes,Compressed air injury during maintenance
Skyler Cooper,Sydney Sullivan,02 January 2025,23:08,Environmental Services,"forklift malfunction caused electrical fire, injuring a contractor.",Warehouse A,Accident,Yes,Puncture wound from misplaced tool
Emerson Walker,Drew Holmes,06 March 2025,22:20,Facilities,Exposure to toxic fumes led to burns.,Fuel Depot,Accident,Yes,Heat exhaustion from prolonged outdoor work
Quinn Johnson,Blake Mitchell,28 October 2024,16:02,Health & Safety,Exposure to toxic fumes led to burns.,Warehouse B,Accident,Yes,Foreign object in eye from grinding debris
Jesse Ward,Morgan Fisher,13 January 2025,13:52,Finance,Exposure to high-voltage wiring led to concussion.,Training Room,Accident,Yes,Severe abrasion from slip on deck
Dakota Walker,Riley Murphy,17 January 2025,15:38,Environmental Services,"grinder malfunction caused electrical fire, injuring a contractor.",Fleet Garage,Accident,Yes,Hearing damage from loud machinery
Taylor Lee,Harper Reed,25 July 2024,01:28,Finance,Exposure to asbestos led to concussion.,Cafeteria,Accident,Yes,Foreign object in eye from grinding debris
Riley Pearson,Elliot Cooper,04 September 2025,18:59,Dockyard Operations,"Worker fell from ship deck while painting, resulting in burns.",Dockyard North,Accident,Yes,Eye irritation from chemical fumes
Elliot Morgan,Morgan Graham,07 March 2025,15:28,Research & Development,"grinder malfunction caused a steel beam to drop, injuring two workers.",Fuel Depot,Accident,Yes,Burn from hot welding equipment
Charlie Kennedy,Sydney Hughes,18 August 2024,04:49,Security,"crane malfunction caused electrical fire, injuring the operator.",Dry Dock 1,Accident,Yes,Fractured ankle due to fall from scaffolding
Elliot Morgan,Riley Morgan,23 March 2025,02:31,IT,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Warehouse A,Accident,Yes,Hearing damage from loud machinery
Jordan Morgan,Quinn Payne,27 October 2024,17:15,Ship Maintenance,Exposure to toxic fumes led to burns.,Dry Dock 1,Accident,Yes,Laceration from sharp metal panel
Reese Mitchell,Casey Payne,28 May 2024,07:01,Finance,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Electrical Bay,Accident,Yes,Fractured wrist from fall on wet surface
Alex Kennedy,Riley Allen,23 August 2024,07:42,Finance,Exposure to toxic fumes led to concussion.,Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Jesse Payne,Alex Lewis,07 June 2024,21:19,Legal,"crane malfunction caused a fuel leak, injuring a contractor.",Dockyard North,Accident,Yes,Puncture wound from misplaced tool
Peyton Walker,Chris Hughes,02 September 2025,16:06,Logistics,Exposure to asbestos led to a fractured leg.,Dry Dock 1,Accident,Yes,Laceration from sharp metal panel
Skyler Hughes,Drew Parker,02 August 2025,02:28,Operations,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Concussion from falling object
Taylor Hughes,Sydney Bailey,28 October 2024,21:38,IT,Exposure to toxic fumes led to a fractured leg.,Office - Admin Block,Accident,Yes,Fractured wrist from fall on wet surface
Finley Parker,Quinn Murphy,14 July 2025,11:41,Procurement,"crane malfunction caused a steel beam to drop, injuring a contractor.",Reception Area,Accident,Yes,Severe abrasion from slip on deck
Morgan Mitchell,Chris Foster,09 January 2024,12:25,Quality Assurance,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Maintenance Shed,Accident,Yes,Fractured wrist from fall on wet surface
Frankie Mitchell,Logan Clark,26 July 2024,18:05,Warehouse,Exposure to asbestos led to burns.,Office - Admin Block,Accident,Yes,Puncture wound from misplaced tool
Avery Ward,Blake Robinson,23 December 2024,21:43,Engineering,Exposure to asbestos led to concussion.,Paint Shop,Accident,Yes,Compressed air injury during maintenance
Jesse Foster,Riley Cooper,19 March 2025,10:13,Engineering,"forklift malfunction caused electrical fire, injuring the operator.",Dockyard South,Accident,Yes,Fractured wrist from fall on wet surface
Skyler Lee,Finley Lee,12 February 2025,20:40,Security,Exposure to asbestos led to burns.,Main Gate Security,Accident,Yes,Foreign object in eye from grinding debris
Chris Bailey,Charlie Pearson,01 January 2024,21:03,Health & Safety,Exposure to asbestos led to burns.,Office - Admin Block,Accident,Yes,Fractured wrist from fall on wet surface
Emerson West,Quinn Brown,16 May 2024,20:22,Environmental Services,Exposure to high-voltage wiring led to burns.,Cafeteria,Accident,Yes,Puncture wound from misplaced tool
Drew Walker,Logan Ward,28 July 2024,00:43,Research & Development,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Dry Dock 1,Accident,Yes,Smoke inhalation from fire in electrical bay
Cameron Smith,Charlie Sullivan,26 March 2025,07:48,Ship Maintenance,Exposure to asbestos led to concussion.,Fleet Garage,Accident,Yes,Dislocated shoulder during equipment maintenance
Casey Smith,Alex Kennedy,30 September 2024,04:58,Warehouse,"grinder malfunction caused a fuel leak, injuring the operator.",Main Gate Security,Accident,Yes,Burn from hot welding equipment
Blake Bennett,Avery Ward,18 February 2024,05:44,Security,"Worker fell from ladder while welding, resulting in a fractured leg.",Fleet Garage,Accident,Yes,Compressed air injury during maintenance
Morgan Lee,Riley Walker,19 April 2025,01:42,Health & Safety,"Worker fell from ladder while welding, resulting in burns.",Tool Crib,Accident,Yes,Back strain from improper lifting
Avery Morgan,Frankie Lee,20 March 2024,11:53,HR,"Worker fell from ladder while welding, resulting in concussion.",Fuel Depot,Accident,Yes,Compressed air injury during maintenance
Peyton Foster,Sydney Sullivan,20 February 2025,21:45,Customer Service,"forklift malfunction caused a fuel leak, injuring a contractor.",Shipyard Pier,Accident,Yes,Dislocated shoulder during equipment maintenance
Jordan Clark,Finley Robinson,16 September 2025,02:45,Quality Assurance,Exposure to toxic fumes led to a fractured leg.,Warehouse A,Accident,Yes,Fractured wrist from fall on wet surface
Riley Parker,Harper Payne,26 June 2024,11:40,Finance,"grinder malfunction caused electrical fire, injuring a contractor.",Shipyard Pier,Accident,Yes,Back strain from improper lifting
Sydney Cooper,Chris Fisher,15 May 2025,17:47,Environmental Services,Exposure to toxic fumes led to concussion.,Dockyard North,Accident,Yes,Heat exhaustion from prolonged outdoor work
Drew Murray,Spencer Clark,07 April 2025,06:02,Logistics,Exposure to high-voltage wiring led to concussion.,Engineering Workshop,Accident,Yes,Trip hazard fall resulting in bruising
Frankie Graham,Skyler Lee,07 October 2024,11:31,Warehouse,"Worker fell from ladder while welding, resulting in burns.",IT Server Room,Accident,Yes,Electric shock from faulty wiring
Reese Bennett,Morgan Fisher,26 October 2024,03:27,Customer Service,Exposure to asbestos led to a fractured leg.,Fleet Garage,Accident,Yes,Back strain from improper lifting
Harper Parker,Jordan Reed,31 July 2025,03:14,HR,Exposure to asbestos led to a fractured leg.,Tool Crib,Accident,Yes,Dislocated shoulder during equipment maintenance
Dakota Payne,Elliot Bennett,28 August 2024,22:48,Engineering,"Worker fell from ladder while painting, resulting in a fractured leg.",Cafeteria,Accident,Yes,Electric shock from faulty wiring
Chris Hughes,Riley Holmes,01 February 2024,09:01,Dockyard Operations,"Worker fell from ship deck while welding, resulting in a fractured leg.",Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Alex Robinson,Emerson Smith,16 January 2024,14:40,Warehouse,"crane malfunction caused electrical fire, injuring two workers.",Training Room,Accident,Yes,Compressed air injury during maintenance
Finley Bennett,Peyton Graham,12 August 2024,05:15,Health & Safety,Exposure to high-voltage wiring led to concussion.,IT Server Room,Accident,Yes,Electric shock from faulty wiring
Chris Bailey,Riley Parker,04 May 2025,03:10,Health & Safety,"Worker fell from ladder while repairing the hull, resulting in concussion.",Warehouse A,Accident,Yes,Burn from hot welding equipment
Quinn Parker,Jesse Lee,29 May 2025,14:42,Operations,"Worker fell from scaffolding while painting, resulting in burns.",Paint Shop,Accident,Yes,Hearing damage from loud machinery
Frankie Fisher,Jamie Smith,20 March 2025,07:02,Logistics,"Worker fell from ladder while repairing the hull, resulting in concussion.",Fuel Depot,Accident,Yes,Heat exhaustion from prolonged outdoor work
Charlie Cooper,Logan Payne,20 May 2024,05:55,Communications,"forklift malfunction caused a fuel leak, injuring a contractor.",Dry Dock 2,Accident,Yes,Chemical burn from solvent exposure
Peyton Graham,Elliot Sullivan,07 February 2024,17:19,Environmental Services,"grinder malfunction caused a fuel leak, injuring two workers.",Engineering Workshop,Accident,Yes,Foreign object in eye from grinding debris
Quinn Allen,Logan Morgan,22 March 2024,02:19,HR,"grinder malfunction caused a fuel leak, injuring a contractor.",Electrical Bay,Accident,Yes,Laceration from sharp metal panel
Reese Morgan,Casey Sullivan,16 October 2024,08:26,Procurement,"crane malfunction caused a steel beam to drop, injuring a contractor.",Engineering Workshop,Accident,Yes,Foreign object in eye from grinding debris
Frankie Kennedy,Jordan Fisher,21 February 2025,09:41,Facilities,Exposure to high-voltage wiring led to burns.,Warehouse A,Accident,Yes,Hearing damage from loud machinery
Reese Bailey,Logan Davis,25 April 2025,09:05,Dockyard Operations,Exposure to asbestos led to concussion.,Tool Crib,Accident,Yes,Burn from hot welding equipment
Cameron Hughes,Dakota West,23 March 2024,06:34,Facilities,"grinder malfunction caused electrical fire, injuring two workers.",Maintenance Shed,Accident,Yes,Fractured ankle due to fall from scaffolding
Cameron Lee,Elliot Murray,27 December 2024,17:32,Logistics,"grinder malfunction caused a fuel leak, injuring a contractor.",Dry Dock 1,Accident,Yes,Fractured wrist from fall on wet surface
Emerson Davis,Rowan Hughes,02 July 2024,12:38,HR,Exposure to toxic fumes led to burns.,Warehouse A,Accident,Yes,Fractured wrist from fall on wet surface
Reese Lewis,Finley Ward,16 February 2024,19:44,Ship Maintenance,"Worker fell from ship deck while painting, resulting in burns.",Maintenance Shed,Accident,Yes,Dislocated shoulder during equipment maintenance
Morgan Murray,Finley Davis,02 July 2025,18:23,Quality Assurance,"Worker fell from scaffolding while welding, resulting in concussion.",Office - Admin Block,Accident,Yes,Puncture wound from misplaced tool
Kai West,Spencer Mitchell,07 April 2025,22:56,Training & Development,Exposure to high-voltage wiring led to burns.,Warehouse A,Accident,Yes,Heat exhaustion from prolonged outdoor work
Morgan Reed,Reese Murray,11 January 2025,07:32,Finance,Exposure to asbestos led to a fractured leg.,Main Gate Security,Accident,Yes,Burn from hot welding equipment
Dakota Brown,Taylor Davis,29 October 2024,03:31,Communications,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Reception Area,Accident,Yes,Back strain from improper lifting
Morgan Walker,Finley Bailey,09 January 2024,05:48,Communications,Exposure to asbestos led to burns.,Warehouse A,Accident,Yes,Trip hazard fall resulting in bruising
Jamie Brown,Spencer West,27 August 2024,10:07,Warehouse,Exposure to asbestos led to a fractured leg.,Office - Admin Block,Accident,Yes,Smoke inhalation from fire in electrical bay
Riley Davis,Emerson Parker,08 October 2024,03:10,Operations,Exposure to toxic fumes led to concussion.,Office - Admin Block,Accident,Yes,Dislocated shoulder during equipment maintenance
Charlie Murphy,Sawyer Brown,17 October 2024,23:20,Communications,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Warehouse B,Accident,Yes,Trip hazard fall resulting in bruising
Sawyer Fisher,Rowan Bailey,24 May 2024,01:31,Operations,Exposure to toxic fumes led to burns.,Fuel Depot,Accident,Yes,Crush injury to hand from hydraulic press
Logan Allen,Charlie Sullivan,02 September 2024,12:35,Warehouse,Exposure to toxic fumes led to burns.,Training Room,Accident,Yes,Electric shock from faulty wiring
Frankie Pearson,Frankie Cooper,02 March 2025,02:57,Procurement,Exposure to toxic fumes led to concussion.,Maintenance Shed,Accident,Yes,Foreign object in eye from grinding debris
Reese Johnson,Casey Foster,19 January 2025,05:09,Fleet Management,"grinder malfunction caused a steel beam to drop, injuring the operator.",Dry Dock 2,Accident,Yes,Hearing damage from loud machinery
Charlie Holmes,Rowan West,28 May 2025,19:14,Fleet Management,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Cafeteria,Accident,Yes,Crush injury to hand from hydraulic press
Skyler Allen,Reese Lee,26 May 2025,06:49,Finance,"crane malfunction caused a fuel leak, injuring two workers.",Paint Shop,Accident,Yes,Concussion from falling object
Jesse Brown,Emerson Morgan,03 March 2024,13:37,Engineering,Exposure to high-voltage wiring led to concussion.,Reception Area,Accident,Yes,Back strain from improper lifting
Drew Walker,Kai Smith,23 October 2024,08:55,Facilities,Exposure to toxic fumes led to a fractured leg.,Main Gate Security,Accident,Yes,Electric shock from faulty wiring
Morgan Mitchell,Peyton Reed,04 February 2024,19:28,Quality Assurance,"forklift malfunction caused a steel beam to drop, injuring two workers.",Warehouse B,Accident,Yes,Back strain from improper lifting
Jesse Clark,Reese Davis,10 February 2024,03:54,HR,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Warehouse A,Accident,Yes,Smoke inhalation from fire in electrical bay
Finley Mitchell,Spencer Clark,04 October 2024,00:57,Warehouse,"Worker fell from ladder while welding, resulting in burns.",Reception Area,Accident,Yes,Smoke inhalation from fire in electrical bay
Cameron Smith,Jesse Holmes,01 September 2024,00:13,Training & Development,Exposure to toxic fumes led to burns.,Office - Admin Block,Accident,Yes,Smoke inhalation from fire in electrical bay
Peyton Lee,Chris Johnson,30 March 2024,17:51,Logistics,"crane malfunction caused a steel beam to drop, injuring two workers.",Warehouse B,Accident,Yes,Foreign object in eye from grinding debris
Morgan Morgan,Drew Lewis,12 January 2024,21:37,Customer Service,"Worker fell from scaffolding while welding, resulting in burns.",Maintenance Shed,Accident,Yes,Electric shock from faulty wiring
Casey Graham,Chris Morgan,01 September 2025,09:19,Ship Maintenance,Exposure to high-voltage wiring led to concussion.,Dry Dock 2,Accident,Yes,Dislocated shoulder during equipment maintenance
Kai Mitchell,Drew Bailey,10 July 2024,01:08,Security,"crane malfunction caused a fuel leak, injuring two workers.",Fuel Depot,Accident,Yes,Dislocated shoulder during equipment maintenance
Reese Bailey,Reese Lewis,20 August 2024,23:59,Research & Development,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Warehouse B,Accident,Yes,Heat exhaustion from prolonged outdoor work
Quinn Foster,Jordan Reed,15 November 2024,10:05,Environmental Services,"crane malfunction caused a steel beam to drop, injuring a contractor.",Tool Crib,Accident,Yes,Dislocated shoulder during equipment maintenance
Skyler Morgan,Peyton Cooper,28 September 2024,22:09,Engineering,Exposure to asbestos led to burns.,Office - Admin Block,Accident,Yes,Minor cuts and bruises
Elliot Davis,Finley Johnson,23 August 2025,02:46,Procurement,Exposure to asbestos led to concussion.,Electrical Bay,Accident,Yes,Smoke inhalation from fire in electrical bay
Elliot Smith,Morgan Reed,07 November 2024,20:18,Finance,"grinder malfunction caused a fuel leak, injuring two workers.",Reception Area,Accident,Yes,Foreign object in eye from grinding debris
Skyler Bennett,Riley Payne,28 May 2024,03:16,Facilities,"Worker fell from ship deck while painting, resulting in concussion.",IT Server Room,Accident,Yes,Burn from hot welding equipment
Quinn Parker,Finley Fisher,21 November 2024,13:01,Security,"crane malfunction caused a fuel leak, injuring the operator.",Warehouse A,Accident,Yes,Heat exhaustion from prolonged outdoor work
Alex Lewis,Harper Payne,07 August 2025,16:59,Customer Service,Exposure to high-voltage wiring led to burns.,Main Gate Security,Accident,Yes,Trip hazard fall resulting in bruising
Skyler Johnson,Rowan Walker,02 January 2025,04:01,Warehouse,"forklift malfunction caused a fuel leak, injuring two workers.",Shipyard Pier,Accident,Yes,Compressed air injury during maintenance
Drew Robinson,Logan Murphy,03 July 2025,23:22,Health & Safety,Exposure to toxic fumes led to burns.,Fuel Depot,Accident,Yes,Puncture wound from misplaced tool
Emerson Parker,Rowan Smith,20 March 2024,16:51,Research & Development,Exposure to high-voltage wiring led to concussion.,Maintenance Shed,Accident,Yes,Severe abrasion from slip on deck
Finley Davis,Drew Hughes,04 September 2025,09:08,Dockyard Operations,"Worker fell from ladder while welding, resulting in burns.",Office - Admin Block,Accident,Yes,Minor cuts and bruises
Dakota Sullivan,Casey Smith,31 December 2024,16:11,HR,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Paint Shop,Accident,Yes,Hearing damage from loud machinery
Avery Smith,Morgan Murray,24 March 2025,20:17,Communications,"grinder malfunction caused a fuel leak, injuring the operator.",Warehouse A,Accident,Yes,Burn from hot welding equipment
Reese Lewis,Charlie Reed,10 August 2024,09:48,Fleet Management,Exposure to high-voltage wiring led to burns.,Cafeteria,Accident,Yes,Compressed air injury during maintenance
Alex Brown,Elliot Murray,30 March 2024,08:01,Dockyard Operations,"crane malfunction caused a steel beam to drop, injuring the operator.",Warehouse A,Accident,Yes,Back strain from improper lifting
Sawyer Foster,Logan Davis,27 April 2024,17:28,Training & Development,Exposure to high-voltage wiring led to concussion.,Training Room,Accident,Yes,Burn from hot welding equipment
Rowan Murphy,Cameron Reed,28 May 2025,11:41,HR,Exposure to asbestos led to a fractured leg.,Main Gate Security,Accident,Yes,Burn from hot welding equipment
Rowan Hughes,Avery Allen,11 July 2025,07:36,Fleet Management,Exposure to asbestos led to a fractured leg.,Cafeteria,Accident,Yes,Electric shock from faulty wiring
Rowan Parker,Sydney Mitchell,01 June 2024,13:10,Procurement,"Worker fell from ship deck while painting, resulting in burns.",Fleet Garage,Accident,Yes,Foreign object in eye from grinding debris
Dakota Smith,Dakota Murray,28 April 2025,09:46,Training & Development,"forklift malfunction caused a fuel leak, injuring two workers.",Reception Area,Accident,Yes,Concussion from falling object
Kai Ward,Casey Foster,19 June 2024,07:26,Communications,"Worker fell from ladder while repairing the hull, resulting in concussion.",Maintenance Shed,Accident,Yes,Fractured wrist from fall on wet surface
Reese Parker,Alex Hughes,13 January 2024,17:22,Health & Safety,"Worker fell from ladder while painting, resulting in a fractured leg.",Paint Shop,Accident,Yes,Trip hazard fall resulting in bruising
Finley West,Skyler Graham,03 December 2024,05:26,Quality Assurance,"Worker fell from ship deck while painting, resulting in concussion.",Dry Dock 2,Accident,Yes,Puncture wound from misplaced tool
Alex Reed,Spencer Davis,06 June 2024,14:34,Engineering,"Worker fell from ladder while painting, resulting in burns.",Warehouse B,Accident,Yes,Laceration from sharp metal panel
Dakota Parker,Skyler Fisher,02 June 2025,20:52,Engineering,"grinder malfunction caused electrical fire, injuring a contractor.",Training Room,Accident,Yes,Burn from hot welding equipment
Casey Murray,Finley Sullivan,12 July 2025,08:09,Research & Development,"Worker fell from ladder while painting, resulting in concussion.",Dry Dock 2,Accident,Yes,Hearing damage from loud machinery
Emerson Lewis,Dakota Pearson,20 February 2024,01:12,Research & Development,Exposure to asbestos led to a fractured leg.,Maintenance Shed,Accident,Yes,Laceration from sharp metal panel
Kai Pearson,Kai Graham,21 May 2024,16:17,Quality Assurance,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Reception Area,Accident,Yes,Fractured ankle due to fall from scaffolding
Frankie Bennett,Skyler Davis,08 September 2025,05:13,Procurement,"grinder malfunction caused electrical fire, injuring two workers.",Training Room,Accident,Yes,Smoke inhalation from fire in electrical bay
